feature_index,feature_name,descriptor_family,information_status,provisional_response_only,provisional_with_conditions,oracle_full,variance,near_zero_variance,finite_ratio,manual_review_required,review_note,duplicate_feature_name,exact_duplicate_numeric_column
0,story_1_mean,response_time_or_statistical,deployable,True,True,True,0.0004601373595168,False,1.0,False,Provisionally derived from measured structural responses.,False,False
1,story_1_std,response_time_or_statistical,deployable,True,True,True,1.0675957236228348,False,1.0,False,Provisionally derived from measured structural responses.,False,False
2,story_1_max_abs,response_time_or_statistical,deployable,True,True,True,6.20725487215013,False,1.0,False,Provisionally derived from measured structural responses.,False,False
3,story_1_rms,response_time_or_statistical,deployable,True,True,True,1.0678233161197543,False,1.0,False,Provisionally derived from measured structural responses.,False,False
4,story_1_peak_to_peak,response_time_or_statistical,deployable,True,True,True,23.585368636188825,False,1.0,False,Provisionally derived from measured structural responses.,False,False
5,story_1_crest_factor,response_time_or_statistical,deployable,True,True,True,0.3004756325614692,False,1.0,False,Provisionally derived from measured structural responses.,False,False
6,story_2_mean,response_time_or_statistical,deployable,True,True,True,0.0013511831961001,False,1.0,False,Provisionally derived from measured structural responses.,False,False
7,story_2_std,response_time_or_statistical,deployable,True,True,True,6.491429790127111,False,1.0,False,Provisionally derived from measured structural responses.,False,False
8,story_2_max_abs,response_time_or_statistical,deployable,True,True,True,26.666212549969877,False,1.0,False,Provisionally derived from measured structural responses.,False,False
9,story_2_rms,response_time_or_statistical,deployable,True,True,True,6.49236141253965,False,1.0,False,Provisionally derived from measured structural responses.,False,False
10,story_2_peak_to_peak,response_time_or_statistical,deployable,True,True,True,104.81010896425528,False,1.0,False,Provisionally derived from measured structural responses.,False,False
11,story_2_crest_factor,response_time_or_statistical,deployable,True,True,True,0.7159528582141973,False,1.0,False,Provisionally derived from measured structural responses.,False,False
12,story_3_mean,response_time_or_statistical,deployable,True,True,True,0.0027470958851834,False,1.0,False,Provisionally derived from measured structural responses.,False,False
13,story_3_std,response_time_or_statistical,deployable,True,True,True,14.793887917352333,False,1.0,False,Provisionally derived from measured structural responses.,False,False
14,story_3_max_abs,response_time_or_statistical,deployable,True,True,True,58.05552074355861,False,1.0,False,Provisionally derived from measured structural responses.,False,False
15,story_3_rms,response_time_or_statistical,deployable,True,True,True,14.795893028825532,False,1.0,False,Provisionally derived from measured structural responses.,False,False
16,story_3_peak_to_peak,response_time_or_statistical,deployable,True,True,True,228.3046980302296,False,1.0,False,Provisionally derived from measured structural responses.,False,False
17,story_3_crest_factor,response_time_or_statistical,deployable,True,True,True,0.4537535084269074,False,1.0,False,Provisionally derived from measured structural responses.,False,False
18,story_4_mean,response_time_or_statistical,deployable,True,True,True,0.0038159544377822,False,1.0,False,Provisionally derived from measured structural responses.,False,False
19,story_4_std,response_time_or_statistical,deployable,True,True,True,20.454619620655603,False,1.0,False,Provisionally derived from measured structural responses.,False,False
20,story_4_max_abs,response_time_or_statistical,deployable,True,True,True,78.28799228518947,False,1.0,False,Provisionally derived from measured structural responses.,False,False
21,story_4_rms,response_time_or_statistical,deployable,True,True,True,20.457370645552015,False,1.0,False,Provisionally derived from measured structural responses.,False,False
22,story_4_peak_to_peak,response_time_or_statistical,deployable,True,True,True,309.36523775616024,False,1.0,False,Provisionally derived from measured structural responses.,False,False
23,story_4_crest_factor,response_time_or_statistical,deployable,True,True,True,0.0536780271586984,False,1.0,False,Provisionally derived from measured structural responses.,False,False
24,ground_max_abs,response_time_or_statistical,deployable,True,True,True,0.3249242541126313,False,1.0,False,Provisionally derived from measured structural responses.,False,False
25,ground_rms,response_time_or_statistical,deployable,True,True,True,0.1624506153087379,False,1.0,False,Provisionally derived from measured structural responses.,False,False
26,story_1_max_ground_amplification,response_time_or_statistical,deployable,True,True,True,1.9114003810725029,False,1.0,False,Provisionally derived from measured structural responses.,False,False
27,story_1_rms_ground_amplification,response_time_or_statistical,deployable,True,True,True,0.6677749612159848,False,1.0,False,Provisionally derived from measured structural responses.,False,False
28,story_2_max_ground_amplification,response_time_or_statistical,deployable,True,True,True,9.634842725414028,False,1.0,False,Provisionally derived from measured structural responses.,False,False
29,story_2_rms_ground_amplification,response_time_or_statistical,deployable,True,True,True,4.864467530031096,False,1.0,False,Provisionally derived from measured structural responses.,False,False
30,story_3_max_ground_amplification,response_time_or_statistical,deployable,True,True,True,21.473058749575245,False,1.0,False,Provisionally derived from measured structural responses.,False,False
31,story_3_rms_ground_amplification,response_time_or_statistical,deployable,True,True,True,11.202538231465471,False,1.0,False,Provisionally derived from measured structural responses.,False,False
32,story_4_max_ground_amplification,response_time_or_statistical,deployable,True,True,True,28.376499719786462,False,1.0,False,Provisionally derived from measured structural responses.,False,False
33,story_4_rms_ground_amplification,response_time_or_statistical,deployable,True,True,True,15.280986932015246,False,1.0,False,Provisionally derived from measured structural responses.,False,False
34,story_1_relative_to_lower_max_abs,response_time_or_statistical,deployable,True,True,True,6.340848622206336,False,1.0,False,Provisionally derived from measured structural responses.,False,False
35,story_1_relative_to_lower_rms,response_time_or_statistical,deployable,True,True,True,1.0695234705735286,False,1.0,False,Provisionally derived from measured structural responses.,False,False
36,story_2_relative_to_lower_max_abs,response_time_or_statistical,deployable,True,True,True,14.895070935733813,False,1.0,False,Provisionally derived from measured structural responses.,False,False
37,story_2_relative_to_lower_rms,response_time_or_statistical,deployable,True,True,True,2.378121636366191,False,1.0,False,Provisionally derived from measured structural responses.,False,False
38,story_3_relative_to_lower_max_abs,response_time_or_statistical,deployable,True,True,True,11.095262287755004,False,1.0,False,Provisionally derived from measured structural responses.,False,False
39,story_3_relative_to_lower_rms,response_time_or_statistical,deployable,True,True,True,1.6601146292807707,False,1.0,False,Provisionally derived from measured structural responses.,False,False
