case_id,case_file,damage,n_damaged_stories,amplitude_g,frequency_hz,phase,noise_level,max_abs_accel,modal_periods
0,,"[0.20521126117349545, 0.0, 0.08453996509439246, 0.0]",2,0.05316627079623104,1.7094627639574163,0.02100629813428108,0.1,0.9320528892638698,"[1.3029487482392588, 0.39244008027243904, 0.20485051999125034, 0.13664160799173053]"
1,,"[0.0, 0.0, 0.0, 0.0]",0,0.19998655136252821,1.8896617178085475,1.8762210370049872,0.2,3.484416836623159,"[1.2700425053309452, 0.38089106650530674, 0.19751950326624498, 0.13203631127589704]"
2,,"[0.0, 0.0, 0.255754792245887, 0.0]",1,0.21608853467701578,0.9271896570238483,2.179347889715928,0.05,12.011198788739478,"[1.283935720727143, 0.387840169875335, 0.20260226119406313, 0.1380957140374288]"
3,,"[0.0, 0.0, 0.0, 0.0]",0,0.13933524008825895,0.7497639034477617,0.6009196966510362,0.1,23.6582644286624,"[1.2700425053309452, 0.3808910665053068, 0.1975195032662451, 0.13203631127589696]"
4,,"[0.0, 0.2856361269487133, 0.0, 0.0]",1,0.08495524875504215,1.030504377317754,5.0030715517596684,0.05,2.7928564159789406,"[1.2950001156409736, 0.38613697629145016, 0.20248300221284707, 0.13993168229937492]"
5,,"[0.0, 0.0, 0.0, 0.0]",0,0.052926085722164354,0.8403905187775387,1.3929848121324362,0.2,7.600518459885174,"[1.2700425053309452, 0.38089106650530696, 0.19751950326624496, 0.13203631127589693]"
6,,"[0.24177218970837636, 0.0, 0.0, 0.0]",1,0.06520088310574333,0.912037599328386,0.10122043457660536,0.2,4.367438095473231,"[1.3055574470453188, 0.39251867012712843, 0.2048251165141796, 0.1352025869808657]"
7,,"[0.0, 0.0, 0.0, 0.0]",0,0.18626646066061286,1.9541722010312854,1.53985599567834,0.1,3.6254138632907424,"[1.2700425053309456, 0.38089106650530663, 0.197519503266245, 0.13203631127589702]"
8,,"[0.0, 0.0, 0.0, 0.0]",0,0.20441872926888807,1.1070181688633334,4.2191478156609765,0.2,6.115751816372686,"[1.2700425053309452, 0.38089106650530674, 0.19751950326624498, 0.13203631127589702]"
9,,"[0.0, 0.0, 0.17726911116309477, 0.0]",1,0.24424875708480587,0.8063445775640613,0.5687508097817295,0.2,56.58549936637958,"[1.2788389496399402, 0.3853724099625993, 0.20077377720518574, 0.13601166997880731]"
